timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674027129108,282,auth-register-invalid,400,Bad Request,Thread Group 1-4,text,true,,310,540,6,6,https://altashop-api.fly.dev/api/auth/register,282,0,215
1674027128907,487,auth-register-invalid,400,Bad Request,Thread Group 1-2,text,true,,310,540,6,6,https://altashop-api.fly.dev/api/auth/register,487,0,419
1674027129331,86,auth-register-invalid,400,Bad Request,Thread Group 1-6,text,true,,310,540,7,7,https://altashop-api.fly.dev/api/auth/register,86,0,59
1674027129014,379,auth-register-invalid,400,Bad Request,Thread Group 1-3,text,true,,310,540,6,6,https://altashop-api.fly.dev/api/auth/register,379,0,316
1674027129210,180,auth-register-invalid,400,Bad Request,Thread Group 1-5,text,true,,310,540,6,6,https://altashop-api.fly.dev/api/auth/register,179,0,114
1674027128874,519,auth-register-invalid,400,Bad Request,Thread Group 1-1,text,true,,310,540,6,6,https://altashop-api.fly.dev/api/auth/register,519,0,449
1674027129428,58,auth-register,200,OK,Thread Group 1-1,text,true,,369,574,7,7,https://altashop-api.fly.dev/api/auth/register,58,0,0
1674027129425,59,auth-register,200,OK,Thread Group 1-4,text,true,,369,574,7,7,https://altashop-api.fly.dev/api/auth/register,59,0,0
1674027129425,60,auth-register,200,OK,Thread Group 1-3,text,true,,369,574,7,7,https://altashop-api.fly.dev/api/auth/register,60,0,0
1674027129427,63,auth-register,200,OK,Thread Group 1-6,text,true,,369,574,7,7,https://altashop-api.fly.dev/api/auth/register,62,0,0
1674027129426,64,auth-register,200,OK,Thread Group 1-2,text,true,,369,574,7,7,https://altashop-api.fly.dev/api/auth/register,63,0,0
1674027129426,83,auth-register,200,OK,Thread Group 1-5,text,true,,369,574,8,8,https://altashop-api.fly.dev/api/auth/register,83,0,0
1674027129489,39,auth-login-invalid,400,Bad Request,Thread Group 1-3,text,true,,309,530,8,8,https://altashop-api.fly.dev/api/auth/login,39,0,0
1674027129396,132,auth-register-invalid,400,Bad Request,Thread Group 1-7,text,true,,310,540,8,8,https://altashop-api.fly.dev/api/auth/register,132,0,92
1674027129490,39,auth-login-invalid,400,Bad Request,Thread Group 1-6,text,true,,309,530,8,8,https://altashop-api.fly.dev/api/auth/login,39,0,0
1674027129487,43,auth-login-invalid,400,Bad Request,Thread Group 1-1,text,true,,309,530,8,8,https://altashop-api.fly.dev/api/auth/login,43,0,0
1674027129510,47,auth-login-invalid,400,Bad Request,Thread Group 1-5,text,true,,309,530,8,8,https://altashop-api.fly.dev/api/auth/login,47,0,0
1674027129530,65,auth-login,200,OK,Thread Group 1-1,text,true,,445,532,8,8,https://altashop-api.fly.dev/api/auth/login,65,0,0
1674027129490,106,auth-login-invalid,400,Bad Request,Thread Group 1-2,text,true,,309,530,8,8,https://altashop-api.fly.dev/api/auth/login,106,0,0
1674027129529,68,auth-login,200,OK,Thread Group 1-3,text,true,,445,532,8,8,https://altashop-api.fly.dev/api/auth/login,68,0,0
1674027129558,40,auth-login,200,OK,Thread Group 1-5,text,true,,445,532,8,8,https://altashop-api.fly.dev/api/auth/login,40,0,0
1674027129488,116,auth-login-invalid,400,Bad Request,Thread Group 1-4,text,true,,309,530,9,9,https://altashop-api.fly.dev/api/auth/login,116,0,0
1674027129498,107,auth-register-invalid,400,Bad Request,Thread Group 1-8,text,true,,310,540,9,9,https://altashop-api.fly.dev/api/auth/register,107,0,65
1674027129530,83,auth-register,200,OK,Thread Group 1-7,text,true,,369,574,9,9,https://altashop-api.fly.dev/api/auth/register,83,0,0
1674027129529,123,auth-login,200,OK,Thread Group 1-6,text,true,,445,532,9,9,https://altashop-api.fly.dev/api/auth/login,84,0,0
1674027129597,56,auth-login,200,OK,Thread Group 1-2,text,true,,445,532,9,9,https://altashop-api.fly.dev/api/auth/login,56,0,0
1674027129599,54,auth-info,200,OK,Thread Group 1-5,text,true,,359,405,9,9,https://altashop-api.fly.dev/api/auth/info,54,0,0
1674027129598,56,auth-info,200,OK,Thread Group 1-3,text,true,,359,405,9,9,https://altashop-api.fly.dev/api/auth/info,55,0,0
1674027129614,40,auth-login-invalid,400,Bad Request,Thread Group 1-7,text,true,,309,530,9,9,https://altashop-api.fly.dev/api/auth/login,40,0,0
1674027129606,52,auth-register,200,OK,Thread Group 1-8,text,true,,368,572,9,9,https://altashop-api.fly.dev/api/auth/register,52,0,0
1674027129605,78,auth-login,200,OK,Thread Group 1-4,text,true,,445,532,9,9,https://altashop-api.fly.dev/api/auth/login,78,0,0
1674027129596,88,auth-info,200,OK,Thread Group 1-1,text,true,,359,405,9,9,https://altashop-api.fly.dev/api/auth/info,87,0,0
1674027129654,46,auth-login,200,OK,Thread Group 1-7,text,true,,445,532,10,10,https://altashop-api.fly.dev/api/auth/login,46,0,0
1674027129654,92,auth-info,200,OK,Thread Group 1-6,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,92,0,0
1674027129600,146,auth-register-invalid,400,Bad Request,Thread Group 1-9,text,true,,310,540,10,10,https://altashop-api.fly.dev/api/auth/register,146,0,88
1674027129653,111,auth-info,200,OK,Thread Group 1-2,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,93,0,0
1674027129658,119,auth-login-invalid,400,Bad Request,Thread Group 1-8,text,true,,309,530,10,10,https://altashop-api.fly.dev/api/auth/login,119,0,0
1674027129777,59,auth-login,200,OK,Thread Group 1-8,text,true,,440,530,10,10,https://altashop-api.fly.dev/api/auth/login,59,0,0
1674027129700,136,auth-info,200,OK,Thread Group 1-7,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,136,0,0
1674027129693,143,auth-register-invalid,400,Bad Request,Thread Group 1-10,text,true,,310,540,10,10,https://altashop-api.fly.dev/api/auth/register,143,0,74
1674027129683,154,auth-info,200,OK,Thread Group 1-4,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,154,0,0
1674027129746,91,auth-register,200,OK,Thread Group 1-9,text,true,,369,574,10,10,https://altashop-api.fly.dev/api/auth/register,91,0,0
1674027129838,40,auth-login-invalid,400,Bad Request,Thread Group 1-9,text,true,,309,530,10,10,https://altashop-api.fly.dev/api/auth/login,39,0,0
1674027129878,115,auth-login,200,OK,Thread Group 1-9,text,true,,445,532,10,10,https://altashop-api.fly.dev/api/auth/login,115,0,0
1674027129837,156,auth-register,200,OK,Thread Group 1-10,text,true,,369,574,10,10,https://altashop-api.fly.dev/api/auth/register,156,0,0
1674027129836,158,auth-info,200,OK,Thread Group 1-8,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,158,0,0
1674027129993,50,auth-info,200,OK,Thread Group 1-9,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,50,0,0
1674027129994,49,auth-login-invalid,400,Bad Request,Thread Group 1-10,text,true,,309,530,10,10,https://altashop-api.fly.dev/api/auth/login,49,0,0
1674027130043,294,auth-login,200,OK,Thread Group 1-10,text,true,,445,532,10,10,https://altashop-api.fly.dev/api/auth/login,294,0,0
1674027130338,33,auth-info,200,OK,Thread Group 1-10,text,true,,359,405,10,10,https://altashop-api.fly.dev/api/auth/info,33,0,0
1674027129653,5300,products-get-all-items,200,OK,Thread Group 1-5,text,true,,24598,404,10,10,https://altashop-api.fly.dev/api/products,5280,0,0
1674027134953,44,products-create-item,200,OK,Thread Group 1-5,text,true,,427,595,10,10,https://altashop-api.fly.dev/api/products,44,0,0
1674027134998,42,products-get-by-id,200,OK,Thread Group 1-5,text,true,,427,409,10,10,https://altashop-api.fly.dev/api/products/8697,41,0,0
1674027135040,26,products-get-by-id-invalid,404,Not Found,Thread Group 1-5,text,true,,307,406,10,10,https://altashop-api.fly.dev/api/products/0,26,0,0
